surah,kazimirski_item_declared_num,classification,canonical_ayah_range,french_text,note
2,284,A,2:284,"Si vous êtes en voyage, et que vous ne trouviez pas d’écrivain, il y a lieu à un nantissement. Mais si l’un confie à l’autre un objet, que celui à qui le gage est confié le restitue intact ; qu’il craigne Dieu, son Seigneur. Ne refusez point de rendre témoignage ; quiconque le refuse a le cœur corrompu. Mais Dieu connaît vos actions.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,285,A,2:285,"Tout ce qui est dans les cieux et sur la terre appartient à Dieu ; que vous produisiez vos actions au grand jour ou que vous les cachiez, il vous en demandera compte ; il pardonnera a qui il voudra, et punira celui qu’il voudra. Dieu est tout-puissant.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,286,A,2:286,"Le prophète croit en ce que le Seigneur lui a envoyé. Les fidèles croient en Dieu, à ses anges, à ses livres et à ses envoyés. Ils disent : Nous ne faisons pas de différence entre les envoyés de Dieu. Nous avons entendu et nous obéissons. Pardonne-nous nos péchés, ô Seigneur ! nous reviendrons tous à toi.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,EXTRA-1,E,UNRESOLVED,(see structural sweep: one actual <li> beyond declared count; exact position/text not yet isolated),Second discontinuity per prior research; not yet located despite word-count-drift analysis attempt in this session
3,1,C,3:1-3:2,"Elif. Lam. Min.. Dieu. Il n’y a point d’autre dieu que lui, le Vivant, l’Immuable.",
3,2,B,3:3,Il t’a envoyé en toute vérité le Livre qui confirme ce qui l’a précédé ; il a fait descendre d’en haut le Pentateuque et l’Évangile pour servir de direction aux hommes. Il a fait descendre la Distinction.,
3,3,B,3:4,"Ceux qui ne croiront point aux signes de Dieu, éprouveront un châtiment terrible. Dieu est puissant, vindicatif.",
3,4,C,3:5-3:6,"Rien de ce qui est dans les cieux et sur la terre ne lui est caché. C’est lui qui vous forme comme il lui plaît dans le sein de vos mères. Il n’y a point d’autre Dieu que lui ; il est le Puissant, le Sage.",
3,5,B,3:7,"C’est lui qui t’a envoyé le Livre de sa part. Il s’y trouve des versets immuables, qui sont comme la mère du Livre et d’autres qui sont métaphoriques. Ceux dont le cœur dévie de la vraie route courent après les métaphores, par envie du désordre et par envie de l’interprétation ; mais il n’y a que Dieu qui en connaisse l’interprétation. Les hommes d’une science solide diront : Nous croyons en ce livre, tout ce qu’il renferme vient de notre Seigneur. Oui, il n’y a que les hommes doués d’intelligence qui réfléchissent.",
3,6,B,3:8,"Seigneur ! ne permets point à nos cœurs de dévier de la droite voie, quand tu nous y as dirigés une fois. Accorde-nous ta miséricorde, car tu es le dispensateur suprême.",
3,7,B,3:9,"Seigneur ! tu rassembleras le genre humain dans le jour au sujet duquel il n’y a point de doute. Certes, Dieu ne manque point à ses promesses.",
3,8,B,3:10,"Pour les infidèles, leurs richesses ni leurs enfants ne sauraient leur servir nullement comme équivalent de Dieu ; ils seront l’aliment du feu.",
3,9,B,3:11,"Tel a été le sort des gens de Pharaon et de ceux qui l’ont précédé. Ils ont traité nos signes de mensonges. Dieu les a saisis pour leurs péchés, et il est terrible dans ses châtiments.",
3,10,B,3:12,Dis aux incrédules : Bientôt vous serez vaincus et rassemblés dans la géhenne. Quel affreux séjour !,
3,11,B,3:13,"Dans ces deux troupes qui en vinrent aux mains, l’une combattant dans la voie de Dieu, l’autre infidèle, il y avait un signe pour vous. Les infidèles semblaient voir de leurs yeux deux fois autant d’ennemis ; mais c’est Dieu qui appuyait de son secours celui qu’il voulait. Certes il y avait dans ceci un avertissement pour les hommes clairvoyants.",
3,12,B,3:14,"L’amour des plaisirs, tels que les femmes, les enfants, les trésors entassés d’or et d’argent, les chevaux portant des marques imprimées, les troupeaux, les campagnes, tout cela paraît beau aux hommes, mais ce ne sont que des jouissances temporaires de ce monde ; mais la belle retraite est auprès de Dieu.",
3,13,B,3:15,"Dis : Puis-je annoncer à ceux qui craignent quelque chose qui vaille mieux ? Chez leur Seigneur ils trouveront des jardins arrosés par des cours d’eau, où ils demeureront éternellement ; des femmes exemptes de toute souillure, et la satisfaction de Dieu. Dieu regarde ses serviteurs.",
3,14,B,3:16,"Tel sera le sort de ceux qui disent : Seigneur, nous avons cru ; pardonne-nous nos péchés et préserve-nous de la peine du feu ;",
3,15,B,3:17,"De ceux qui ont été patients, véridiques, soumis, charitables, et implorant le pardon de Dieu à chaque lever de l’aurore.",
3,16,B,3:18,"Dieu est lui-même témoin de ce qu’il n’y a point d’autre dieu que lui ; les anges et les hommes doués de science et de droiture répètent : Il n’y a point d’autre dieu que lui, le Puissant, le Sage.",
3,17,B,3:19,"La religion de Dieu est l’Islam. Ceux qui suivent les Écritures ne se sont divisés entre eux que lorsqu’ils ont reçu la science, et par jalousie. Celui qui refusera de croire aux signes de Dieu éprouvera combien il est prompt à demander compte des actions humaines.",
3,18,D,3:20,"Dis à ceux qui disputeront avec toi : Je me suis abandonné entièrement à Dieu, ainsi que ceux qui me suivent.",
3,19,D,3:20,"Dis à ceux qui ont reçu les Écritures et aux ignorants : Vous livrez-vous à Dieu ? S’ils le font, ils seront sur la droite voie ; s’ils tergiversent, tu n’es chargé que de la prédication. Dieu voit ses serviteurs.",
3,20,B,3:21,"Annonce à ceux qui ne croient pas aux signes de Dieu, qui tuent leurs prophètes contre toute justice et tous ceux d’entre eux qui leur prêchent la justice, à ceux-là annonce",
3,21,B,3:22,si. À ceux dont les œuvres en ce monde et dans l’autre ont été en pure perte et qui n’auront point de défenseurs.,
3,22,B,3:23,"N’as-tu pas vu ceux qui ont reçu une portion des Écritures (les juifs) recourir au Livre de Dieu, pour qu’il prononce dans leurs différends, et puis une partie d’entre eux tergiverser et s’éloigner ?",
3,23,B,3:24,C’est qu’ils se sont dit : Le feu ne nous atteindra que pendant un petit nombre de jours. Leurs mensonges les rendent aveugles sur leurs croyances.,
3,24,B,3:25,"Que sera-ce lorsque nous vous rassemblerons dans ce jour au sujet duquel il n’y a point de doute, le jour où toute âme recevra le prix de ses œuvres et où personne ne sera lésé ?",
3,25,B,3:26,"Dis : Seigneur, le pouvoir est entre tes mains : tu le donnes à qui tu veux, et tu l’ôtes à qui il te plaît ; tu élèves qui tu veux, et tu abaisses qui tu veux. Le bien est entre tes mains, car tu es tout-puissant.",
3,26,B,3:27,Tu fais entrer la nuit dans le jour et le jour dans la nuit tu fais sortir la vie de la mort et la mort de la vie. Tu accordes la nourriture à qui tu veux sans compte ni mesure.,
3,27,C,3:28-3:29,"Que les croyants ne prennent point pour amis (ou alliés ou patrons) des infidèles plutôt que des croyants. Ceux qui le feraient ne doivent rien espérer de la part de Dieu, à moins que vous n’ayez à craindre quelque chose de leur côté. Dieu vous avertit de le craindre ; car c’est auprès de lui que vous retournerez. Dis-leur : Soit que vous cachiez ce qui est dans vos cœurs, soit que vous le produisiez au grand jour, Dieu le saura. Il connaît ce qui est dans les cieux et sur la terre, il est tout-puissant.",
3,28,B,3:30,"Le jour où toute âme retrouvera devant elle le bien qu’elle a fait et le mal qu’elle a commis, ce jour-là elle désirera qu’un espace immense la sépare de ses mauvaises actions : Dieu vous avertit qu’il faut le craindre, car il est bienveillant pour ses serviteurs.",
3,29,C,3:31-3:32,"Dis-leur : Si vous aimez Dieu, suivez-moi ; Il vous aimera, il vous pardonnera vos péchés ; il est indulgent et miséricordieux. Obéissez à Dieu et au prophète ; Mais si vous tergiversez, sachez que Dieu n’aime point les infidèles.",
3,30,C,3:33-3:34,"Dieu a choisi de préférence à tous les humains Adam et Noé, la famille d’Abraham et celle d’Imran. Ces familles sont sorties les unes des autres. Dieu sait et entend tout.",
3,31,C,3:35-3:36,"Souviens-toi du jour où l’épouse d’Imran adressa cette prière à Dieu : Seigneur, je t’ai consacré ce qui est dans mon sein, il t’appartiendra entièrement ; agrée-le, car tu entends et connais tout. Lorsqu’elle eut enfanté, elle dit : Seigneur, j’ai mis au monde une fille (Dieu savait bien ce qu’elle avait mis au monde : le garçon n’est pas comme la fille), et je l’ai nommée Mariam (Marie) ; je la mets sous ta protection, elle et sa postérité, afin que tu les préserves des ruses de Satan le Lapidé.",
3,32,B,3:37,"Le Seigneur fit le plus bel accueil à la femme d’Imran ; or il lui avait fait produire une belle créature. Zacharie eut soin de l’enfant ; toutes les fois qu’il allait visiter Marie dans sa cellule, il trouvait de la nourriture auprès d’elle. Ô Marie ! D’où vous vient cette nourriture ? — Elle me vient de Dieu, répondit-elle, car Dieu nourrit abondamment ceux qu’il veut, et ne leur compte pas les morceaux.",
3,33,C,3:38-3:39,"Et ici Zacharie se mit à prier Dieu. Seigneur, accorde-moi une postérité bénie ; tu aimes à exaucer les prières des suppliants. Ses anges l’appelèrent pendant qu’il priait dans le sanctuaire.",
3,34,D,3:39,"Dieu t’annonce la naissance de Yahia (saint Jean), qui confirmera la vérité du Verbe de Dieu ; il sera grand, chaste, un prophète du nombre des justes.",
3,35,B,3:40,"Seigneur, d’où me viendra cet enfant ? demanda Zacharie ; la vieillesse m’a atteint, et ma femme est stérile. L’ange lui répondit : C’est ainsi que Dieu fait ce qu’il veut.",
3,36,B,3:41,"Zacharie dit : Seigneur, donne-moi un signe comme gage de ta promesse. — Il dit : Voici le signe : pendant trois jours tu ne parleras aux hommes que par des signes. Prononce sans cesse le nom de Dieu, et célèbre ses louanges le soir et le matin.",
3,37,B,3:42,"Les anges dirent à Marie : Dieu t’a choisie, il t’a rendue exempte de toute souillure, il t’a élue parmi toutes les femmes de l’univers.",
3,38,B,3:43,Ô Marie ! Sois pieuse envers ton Seigneur ; prosterne-toi et fléchis le genou devant lui avec ceux qui fléchissent le genou.,
3,39,B,3:44,"Tels sont les récits inconnus jusqu’ici à toi, ô Mohammed ! que nous te révélons. Tu n’étais pas parmi eux lorsqu’ils jetaient leurs chalumeaux à qui aurait soin de Marie ; tu n’étais pas parmi eux quand ils disputaient.",
3,40,B,3:45,"Un jour les anges dirent à Marie : Dieu t’annonce son Verbe. Il se nommera le Messie, Jésus fils de Marie, illustre dans ce monde et dans l’autre, et un des familiers de Dieu ;",
3,41,B,3:46,"Car il parlera aux humains, enfant au berceau et homme fait, et il sera du nombre des justes.",
3,42,B,3:47,"Seigneur, répondit Marie, comment aurais-je un fils ? Aucun homme ne m’a touchée. — C’est ainsi, reprit l’ange, que Dieu crée ce qu’il veut. Il dit : Sois, et il est.",
3,43,C,3:48-3:49,"Il lui enseignera le Livre et la sagesse, le Pentateuque et l’Évangile. Jésus sera son envoyé auprès des enfants d’Israël. Il leur dira : Je viens vers vous, accompagné des signes du Seigneur ; je formerai de boue la figure d’un oiseau, je soufflerai sur lui, et par la permission de Dieu l’oiseau sera vivant ; je guérirai l’aveugle de naissance et le lépreux ; je ressusciterai les morts par la permission de Dieu ; je vous dirai ce que vous aurez mangé et ce que vous aurez caché dans vos maisons. Tous ces faits seront autant de signes pour vous, si vous êtes croyants.",
3,44,C,3:50-3:51,"Je viens pour confirmer le Pentateuque, que vous avez reçu avant moi ; je vous permettrai l’usage de certaines choses qui vous avaient été interdites. Je viens avec des signes de la part de votre Seigneur. Craignez-le et obéissez-moi. Il est mon Seigneur et le vôtre. Adorez-le : c’est le sentier droit.",
3,45,B,3:52,"Mais dès que Jésus s’aperçut de leur infidélité, il s’écria : Qui sera mon auxiliaire pour conduire les hommes vers Dieu ? — C’est nous, répondirent les disciples de Jésus qui serons les auxiliaires de Dieu. Nous croyons en Dieu, et tu témoigneras que nous nous abandonnons à sa volonté.",
3,46,B,3:53,"Seigneur, nous croyons à ce que tu nous envoies, et nous suivons l’apôtre. Inscris-nous au nombre de ceux qui rendent témoignage.",
3,47,B,3:54,Les juifs imaginèrent des artifices contre Jésus. Dieu en imagina contre eux ; et certes Dieu est le plus habile.,
3,48,B,3:55,"Certes, c’est moi qui te fais subir la mort, et c’est moi qui t’élève à moi, qui te délivre des infidèles, qui place ceux qui le suivront au-dessus de ceux qui ne croient pas, jusqu’au jour de la résurrection. Vous retournerez tous à moi, et je jugerai entre vous au sujet de vos différends.",
3,49,B,3:56,Je punirai les infidèles d’un châtiment cruel dans ce monde et dans l’autre. Ils ne trouveront nulle part de secours.,
3,50,B,3:57,"Ceux qui croient et font le bien, Dieu leur donnera la récompense, car il n’aime pas les injustes.",
3,51,B,3:58,Voilà les enseignements et les sages avertissements que nous te récitons.,
3,52,B,3:59,"Jésus est aux yeux de Dieu ce qu’est Adam. Dieu le forma de poussière, puis il dit : Sois ; et il fut.",
3,53,B,3:60,Ces paroles sont la vérité qui vient de ton Seigneur. Garde-toi d’en douter.,
3,54,B,3:61,"À ceux qui disputeront avec toi à ce sujet, depuis que tu en as reçu la connaissance parfaite, réponds : Venez, appelons nos enfants et les vôtres, nos femmes et les vôtres, venons nous et vous, et puis adjurons le Seigneur chacun de notre côté, et appelons sa malédiction sur les menteurs.",
3,55,B,3:62,"Ce que je vous prêche est la vérité même. Il n’y a point d’autres dieux que Dieu ; il est le Puissant, le Sage.",
3,56,B,3:63,"S’ils tergiversent, certes Dieu connaît les méchants.",
3,57,B,3:64,"Dis aux Juifs et aux Chrétiens ; ô gens des Écritures ! Venez entendre un seul mot ; que tout soit égal entre nous et vous ; convenons que nous n’adorerons, que le Dieu unique, et que nous ne lui associerons quoi que ce soit, et que nous ne chercherons pas les uns parmi les autres des seigneurs à côté de Dieu. S’ils s’y refusent, dites-leur : Vous êtes témoins vous-mêmes que nous nous résignons entièrement à la volonté de Dieu.",
3,58,B,3:65,Ô vous qui avez reçu les Écritures ! Pourquoi disputez-vous au sujet d’Abraham ? Le Pentateuque et l’Évangile n’ont été envoyés d’en haut que longtemps après lui. Ne le comprendrez vous donc jamais ?,
3,59,B,3:66,"Vous, qui disputez des choses dont vous êtes instruits, pourquoi cherchez-vous à disputer sur celles dont vous n’avez aucune connaissance ? Dieu sait, mais vous, vous ne savez pas.",
3,60,B,3:67,"Abraham n’était ni juif ni chrétien ; il était pieux et résigné à la volonté de Dieu, et il n’était pas du nombre des idolâtres.",
3,61,B,3:68,Ceux qui tiennent le plus de la croyance d’Abraham sont ceux qui le suivent. Tel est le prophète (Mohammed) et les croyants. Dieu est le protecteur des fidèles.,
3,62,B,3:69,"Une partie de ceux qui ont reçu les Écritures, désireraient vous égarer ; mais ils n’égarent qu’eux-mêmes, et ils ne le sentent pas.",
3,63,B,3:70,Ô vous qui avez reçu les Écritures ! Pourquoi ne croyez-vous pas aux signes du Seigneur quand vous en avez été témoins ?,
3,64,B,3:71,"Ô vous qui avez reçu les Écritures ! Pourquoi revêtez-vous la vérité de la robe du mensonge ? Pourquoi la cachez-vous, vous qui la connaissez ?",
3,65,B,3:72,"Une partie de ceux qui ont reçu les Écritures ont dit : Croyez au Livre envoyé aux croyants (mahométans) le matin, et rejetez leur croyance le soir ; de cette manière ils abandonneront leur religion.",
3,66,B,3:73,N’ajoutez foi qu’à ceux qui suivent votre religion. Dis-leur : La vraie direction est celle qui vient de Dieu ; elle consiste en ce que les autres participent à la révélation qui vous a d’abord été donnée » Disputeront-ils avec vous devant le Seigneur ? Dis-leur : Les faveurs sont dans tes mains de Dieu ; il les accorde à qui il veut. Il est immense et savant.,
3,67,B,3:74,Il accordera sa miséricorde à qui il voudra. Il est maître de faveurs immenses.,
3,68,D,3:75,"Parmi ceux qui ont reçu les Écritures, il y en a à qui tu peux confier un talent, et qui te le rendront intact ; il y en a d’autres qui ne te restitueront pas le dépôt d’un dinar, si tu ne les y contrains.",
3,69,D,3:75,Ils agissent ainsi parce qu’ils disent : Nous ne sommes tenus à rien envers les ignorants. Ils prêtent sciemment un mensonge à Dieu.,
3,70,B,3:76,"Celui qui remplit ses engagements et craint Dieu, saura que Dieu aime ceux qui le craignent.",
3,71,B,3:77,"Ceux qui pour le pacte avec Dieu et pour leurs serments achètent un objet de valeur infime, n’auront aucune part dans la vie future. Dieu ne leur adressera pas une seule parole, il ne jettera pas un seul regard sur eux au jour de la résurrection, il ne les absoudra pas ; un châtiment douloureux leur est destiné.",
3,72,B,3:78,"Quelques-uns d’entre eux torturent les paroles des Écritures avec leurs langues, pour vous faire croire que ce qu’ils disent s’y trouve réellement. Non ceci ne fait point partie des Écritures. Ils disent : Ceci vient de Dieu. Non, cela ne vient point de Dieu. Ils disent des mensonges sur Dieu, et ils le savent.",
3,73,B,3:79,"Convient-il que l’homme à qui Dieu a donné le Livre et la sagesse et le don de prophétie, dise aux hommes : Soyez mes adorateurs en même temps que ceux de Dieu ? Non, soyez les adorateurs de Dieu, puisque vous connaissez le Livre et que vous l’étudiez.",
3,74,B,3:80,Dieu ne vous commande de prendre ni les anges ni les prophètes pour maîtres. Vous ordonnerait-il de vous faire incrédules. après que vous avez résolu d’être résignés à la volonté de Dieu (musulmans).,
3,75,B,3:81,"Lorsque Dieu reçut le pacte des prophètes, il leur dit : Voici le Livre et la sagesse que je vous donne. Un prophète viendra un jour confirmer ce que vous recevez. Croyez en lui et aidez-le de tout votre pouvoir. Y consentez-vous et acceptez-vous le pacte à cette condition ? Ils répondirent : Nous y consentons. — Soyez donc témoins, reprit le Seigneur, et moi je suis aussi un des témoins comme vous.",
3,76,B,3:82,"Quiconque, après cet engagement, chercherait à s’y soustraire, serait du nombre des pervers.",
3,77,B,3:83,"Désirent-ils une autre religion que celle de Dieu, pendant que tout ce qui est dans les cieux et sur la terre se soumet à ses ordres de gré ou de force, et que tout doit un jour retourner à lui ?",
3,78,B,3:84,"Dis : Nous croyons en Dieu, à ce qu’il nous a envoyé, à ce qu’il a révélé à Abraham, Ismaël, Jacob, et aux douze tribus ; nous croyons aux livres saints que Moïse, Jésus et les prophètes ont reçus du ciel ; nous ne mettons aucune différence entre eux, nous sommes résignés à la volonté de Dieu (nous sommes musulmans.)",
3,79,B,3:85,"Quiconque désire un autre culte que la résignation à la volonté de Dieu (islam), ce culte ne sera point reçu de lui, et il sera dans l’autre monde du nombre des malheureux.",
3,80,B,3:86,"Comment Dieu dirigerait-il dans le sentier droit ceux qui, après avoir cru et rendu témoignage à la vérité de l’apôtre, après avoir été témoins des signes, retournent à l’infidélité ? Dieu ne conduit point les pervers.",
3,81,B,3:87,"Leur récompense sera la malédiction de Dieu, des anges et de tous les hommes.",
3,82,B,3:88,"Ils en seront éternellement couverts. Leur supplice ne s’adoucira point, et Dieu ne jettera pas un seul regard sur eux.",
3,83,B,3:89,"Il n’en sera pas de même de ceux qui reviendront au Seigneur par leur repentir et qui feront le bien, car Dieu est indulgent et miséricordieux.",
3,84,B,3:90,"Ceux qui redeviennent infidèles après avoir cru, et qui ne font ensuite qu’accroître leur infidélité, le repentir de ceux-là ne sera point accueilli, et ils resteront dans l’égarement.",
3,85,B,3:91,"Pour ceux qui sont infidèles et meurent infidèles, autant d’or que la terre en peut contenir ne saurait les racheter du châtiment cruel. Ils n’auront point de défenseur.",
3,86,B,3:92,"Vous n’atteindrez à la piété parfaite que lorsque vous aurez fait l’aumône de ce que vous chérissez le plus. Tout ce que vous aurez donné, Dieu le saura.",
3,87,B,3:93,"Toute nourriture était permise aux enfants d’Israël, excepté celle qu’Israël (Jacob) s’était interdite lui-même, avant que le Pentateuque fût venu. Dis-leur : Apportez le Pentateuque, et lisez si vous êtes sincères.",
3,88,B,3:94,"Quiconque forge des mensonges sur le compte de Dieu, est du nombre des injustes.",
3,89,B,3:95,"Dis-leur : Dieu ne dit que la vérité. Suivez donc la religion d’Abraham, qui était pieux et n’associait point d’autres êtres à Dieu.",
3,90,B,3:96,Le premier temple qui ait été fondé parmi les hommes est celui de Becca. Il a été fondé pour être béni et pour servir de direction aux humains.,
3,91,D,3:97,"Vous y verrez des traces de miracles évidents. Là est la station d’Abraham. Quiconque entre dans son enceinte est à l’abri de tout danger. En faire le pèlerinage, est un devoir envers Dieu pour quiconque est en état de le faire.",
3,92,D,3:97,"Quant aux infidèles, qu’importe ? Dieu peut se passer de l’univers entier.",
3,93,B,3:98,Dis à ceux qui ont reçu les Écritures : Pourquoi refusez-vous de croire aux signes de Dieu ? Il est témoin de vos actions.,
3,94,B,3:99,"Dis-leur : Ô vous qui avez reçu les Écritures ! pourquoi repoussez-vous les croyants du sentier de Dieu ? Vous voudriez le rendre tortueux, et cependant vous le connaissez. Mais Dieu n’est point inattentif à ce que vous faites.",
3,95,B,3:100,"Ô croyants ! si vous écoutez quelques-uns d’entre ceux qui ont reçu les Écritures, ils vous feront devenir infidèles.",
3,96,B,3:101,"Mais comment pourriez-vous redevenir infidèles, lorsqu’on vous récite les signes de Dieu, lorsque son envoyé est au milieu de vous ? Celui qui s’attache fortement à Dieu sera dirigé dans la droite voie.",
3,97,B,3:102,"Ô croyants ! craignez Dieu comme il mérite d’être craint, et ne mourez pas sans vous être résignés à la volonté de Dieu (sans devenir musulmans).",
3,98,D,3:103,"Attachez-vous tous fortement à Dieu et ne vous séparez jamais de lui ; et souvenez-vous de ses bienfaits lorsque, ennemis que vous étiez. Il a réuni vos cœurs, et que par les effets de sa grâce vous êtes tous devenus un peuple de frères.",
3,99,D,3:103,"Vous étiez au bord de l’abîme du feu, et il vous en a retirés. C’est ainsi qu’il vous fait voir ses signes, afin que vous ayez un guide ;",
3,100,B,3:104,"Afin que vous deveniez un peuple appelant les autres au bien, ordonnant les bonnes actions et défendant les mauvaises. Les hommes qui agiront ainsi seront bienheureux.",
3,101,B,3:105,"Ne soyez point comme ceux qui, après avoir été témoins de signes évidents, se sont divisés et se sont livrés aux disputes ; car ceux-là éprouveront un châtiment cruel.",
3,102,B,3:106,"Au jour de la résurrection il y aura des visages blancs et des visages noirs. Dieu dira à ces derniers : N’est-ce pas vous qui, après avoir cru, devîntes infidèles ? Allez goûter le châtiment pour prix de votre infidélité.",
3,103,B,3:107,Ceux dont les visages seront blancs éprouveront là miséricorde de Dieu et en jouiront éternellement.,
3,104,B,3:108,"Voilà les signes de Dieu que nous te récitons en toute Vérité, car Dieu ne veut pas le mal des humains.",
3,105,B,3:109,"À lui appartient tout ce qui est dans les cieux et sur la terre, et tout retournera à lui.",
3,106,B,3:110,"Vous êtes le peuple le plus excellent qui ait jamais surgi parmi les hommes ; vous ordonnez ce qui est bon et défendez ce qui est mauvais, et vous croyez en Dieu. Si les hommes qui ont reçu les Écritures voulaient croire, cela ne tournerait qu’à leur avantage ; mais quelques-uns d’entre eux croient, tandis que la plupart sont pervers.",
3,107,B,3:111,"Ils ne sauraient vous causer que des dommages insignifiants. S’ils s’avisent de vous faire la guerre, ils tourneront bientôt le dos et ne seront point secourus.",
3,108,B,3:112,"Partout où ils s’arrêteront, l’opprobre s’étendra comme une tente au-dessus de leurs têtes, s’ils ne cherchent pas une alliance avec Dieu ou avec les hommes. Ils s’attireront la colère de Dieu, et la misère s’étendra encore comme une tente au-dessus de leurs têtes. Cela aura lieu parce qu’ils ont refusé de croire aux signes de Dieu, qu’ils tuaient injustement les prophètes : ce sera le prix de leur rébellion et de leurs iniquités,",
3,109,B,3:113,Tous ceux qui ont reçu les Écritures ne se ressemblent pas. Il en est dont le cœur est droit ; ils passent des nuits entières à réciter les enseignements de Dieu et à l’adorer.,
3,110,B,3:114,"Ils croient en Dieu et au jour dernier ; ils ordonnent le bien et défendent le mal ; ils courent vers les bonnes œuvres à l’envi les uns des autres, et ils sont vertueux.",
3,111,B,3:115,"Quelque bien que vous fassiez, vous ne serez point frustrés de la récompense. Dieu connaît ceux qui le craignent.",
3,112,B,3:116,"Quant aux infidèles, leurs richesses et leurs enfants ne leur serviront nullement comme un équivalent de Dieu ; ils seront livrés au feu et y demeureront éternellement.",
3,113,B,3:117,"Les aumônes qu’ils font dans ce monde seront comme un vent glacial qui souffle sur les campagnes des injustes et les détruit. Ce n’est point Dieu qui les traitera iniquement, ils ont été iniques envers eux-mêmes.",
3,114,B,3:118,"Ô croyants ! ne formez de liaisons intimes qu’entre vous ; les infidèles ne manqueraient pas de vous corrompre t ils désirent votre perte. Leur haine perce dans leurs paroles ; mais ce que leurs cœurs recèlent est pire encore. Nous vous en avons déjà fait voir des preuves évidentes, si toutefois vous savez comprendre.",
3,115,B,3:119,"Vous les aimez, et ils ne vous aiment point. Vous croyez au livre entier ; lorsqu’ils vous rencontrent, ils disent : Nous avons cru ; mais à peine vous ont-ils quittés, qu’enflammés de colère, ils se mordent les doigts. Dis-leur : Mourez dans votre colère ; Dieu connaît le fond de vos cœurs.",
3,116,B,3:120,"Le bien qui vous arrive les afflige ; qu’il vous arrive un malheur, ils sont remplis de joie. Mais si vous avez de la patience et là crainte de Dieu, leurs artifices ne pourront vous nuire, car Dieu embrasse de sa science toutes leurs actions.",
3,117,B,3:121,"Rappelle-toi le jour où tu as quitté ta maison le matin afin de préparer aux fidèles un camp pour combattre, et Dieu écoutait et savait tout.",
3,118,B,3:122,Rappelle-toi le jour où deux troupes de votre armée perdaient courage » et que Dieu fut leur protecteur. Que les croyants mettent donc leur confiance en Dieu.,
3,119,B,3:123,"Dieu vous a secourus à la journée de Bedr, où vous étiez bien faibles. Craignez donc Dieu, et rendez-lui des actions de grâces.",
3,120,B,3:124,"Alors, toi, ô Mohammed ! tu disais aux fidèles : Ne vous suffit-il pas que Dieu vous secoure de trois mille anges descendus du ciel ?",
3,121,B,3:125,"Certes, ce nombre suffit ; mais si vous avez de la persévérance, si vous craignez Dieu et que les ennemis viennent tout à coup à fondre sur Vous, il vous portera secours avec cinq mille hommes tout équipés",
3,122,C,3:126-3:127,"Dieu vous l’apprend comme une heureuse nouvelle, afin que vos cœurs se rassurent ; or la victoire ne vient que du Dieu puissant et sage. Dieu vous apprend qu’il taillera en pièces les infidèles, qu’il les culbutera, qu’ils seront renversés, défaits sans ressource.",
3,123,B,3:128,"Ce n’est pas toi que cela regarde, soit que Dieu leur pardonne ou qu’il les châtie ; ce sont des méchants.",
3,124,B,3:129,À Dieu appartient tout ce qui est dans les cieux et sur la terre : il pardonne à qui il veut et châtie celui qu’il veut. il est indulgent et miséricordieux.,
3,125,B,3:130,"Ô croyants ! ne vous livrez pas à l’usure en portant la somme au double, et toujours au double. Craignez le Seigneur, et vous serez heureux.",
3,126,C,3:131-3:132,"Craignez le feu préparé pour les infidèles ; obéissez à Dieu et au prophète, afin d’obtenir la miséricorde de Dieu.",
3,127,B,3:133,"Efforcez-vous de mériter l’indulgence du Seigneur et la possession du paradis, vaste comme les cieux et la terre, et destiné à ceux qui craignent Dieu ;",
3,128,B,3:134,"À ceux qui font l’aumône dans l’aisance comme dans la gêne, qui savent maîtriser leur colère, et qui pardonnent aux hommes qui les offensent. Certes Dieu aime ceux qui agissent avec bonté.",
3,129,B,3:135,"Ceux qui, après avoir commis une action malhonnête ou une iniquité, se souviennent aussitôt du Seigneur, lui demandent pardon de leurs péchés (car quel autre que Dieu a le droit de pardonner ?), et ne persévèrent point dans les péchés qu’ils reconnaissent,",
3,130,B,3:136,"Tous ceux-là éprouveront l’indulgence du Seigneur, et habiteront éternellement des jardins arrosés par des cours d’eau. Qu’elle est belle la récompense de ceux qui ont des bonnes œuvres !",
3,131,B,3:137,"Avant vous il y eut des châtiments infligés aux méchants. Parcourez la terre, et voyez quelle a été la fin de ceux qui traitaient d’imposteurs les envoyés de Dieu.",
3,132,B,3:138,Ce livre-ci est une déclaration adressée aux hommes ; il sert de guide et d’avertissement à ceux qui craignent.,
3,133,B,3:139,"Ne perdez point courage, ne vous affligez point, vous serez victorieux si vous êtes croyants.",
3,134,B,3:140,"Si les blessures vous atteignent, eh ! n’en ont-elles pas atteint bien d’autres ? Nous alternons les revers et les succès parmi les hommes, afin que Dieu connaisse les croyants, qu’il choisisse parmi vous ses témoins (il hait les méchants) ;",
3,135,B,3:141,Afin d’éprouver les croyants et de détruire les infidèles.,
